Title,Year,Agency,Keywords
The Role of Global Supply Chains in the Transmission of Shocks: Firm-Level Evidence from the 2011 Tohoku Earthquake,2016,FEDS Notes,discussion;data;center;census;business;impact;working;rdc;evidence;firm
U.S. Firm Exports and Intellectual Property Rights,2013,University of Michigan,data;center;census;business;firms;working;rdc;mimeo;university;firm
Essays in International Trade and Financial Development,2014,University of Michigan,discussion;data;center;census;business;firms;working;firm;university;trade
"Multinationals, Offshoring, and the Decline of U.S. Manufacturing",2015,University of Michigan,data;center;census;business;working;rdc;firm;mimeo;university;manufacturing
Globalization and Top Income Shares,2020,Journal of International Economics,economic;discussion;data;center;census;business;impact;firm;journal;economics
Essays on Multinationals and International Spillovers,2018,University of Michigan,economics;economic;discussion;data;center;census;business;impact;working;firm
Testing for Factor Price Equality with Unobserved Differences in Factor Quality or Productivity,2012,Center for Economic Studies,business;working;economic;rdc;paper;studies;center;firm;discussion;productivity
Entry Costs and Increasing Trade,2011,Center for Economic Studies,business;working;economic;rdc;paper;studies;center;firm;discussion;trade
The Structure and Evolution of Entry Costs in Trade,2023,University of Michigan,discussion;data;center;census;business;firms;working;firm;university;trade
Globalization and Top Income Shares,2014,Center for Economic Studies,business;firms;working;economic;rdc;paper;studies;center;firm;discussion
"“It's Not You, It's Me”: Prices, Quality, and Switching in U.S.-China Trade Relationships",2022,Review of Economics and Statistics,discussion;data;center;census;business;impact;working;firm;trade;economics
Testing for Factor Price Equality with Unobserved Differences in Factor Quality or Productivity,2013,American Economic Journal: Microeconomics,data;center;census;business;firms;economic;rdc;firm;journal;productivity
Impacts of Unionization on Quality and Productivity: Regression Discontinuity Evidence From Nursing Homes,2013,Brigham Young University,business;firm;working;economic;rdc;mimeo;evidence;university;impact;productivity
Estimating Adjustment Frictions Using Non-Linear Budget Sets: Method and Evidence from the Earnings Test,2020,American Economic Journal: Applied Economics,discussion;data;center;census;business;evidence;journal;impact;economics;economic
The Surprising Impacts of Unionization: Evidence from Matched Employer-Employee Data,2014,Brigham Young University,census;business;firms;working;economic;mimeo;evidence;university;impact;data
Augmenting the Human Capital Earnings Equation with Measures of Where People Work,2015,Unknown,data;center;census;business;firms;working;economic;mimeo;university;impact
Weathering the Great Recession: Variation in Employment Responses by Establishments and Countries,2017,RSF,evidence;economics;discussion;data;center;census;business;working;economic;impact
Earnings Adjustment Frictions: Evidence from the Social Security Earnings Test,2015,University of Chicago,census;business;firm;working;economic;rdc;mimeo;evidence;university;impact
Essays on Labor and Public Economics,2013,University of Pennsylvania,center;census;business;firms;working;economic;labor;university;impact;economics
The Surprising Impacts of Unionization: Evidence from Matched Employer-Employee Data,2021,Journal of Labor Economics,center;census;business;economic;evidence;labor;journal;impact;economics;data
Weathering the Great Recession: Variation in Employment Responses by Establishments and Countries,2016,NBER,economics;discussion;data;center;census;business;economic;paper;working;impact
The Expanding Gender Earnings Gap: Evidence from the LEHD-2000 Census,2017,American Economic Review,economics;discussion;data;center;business;working;evidence;impact;census;economic
It's Where You Work: Increases in Earnings Dispersion across Establishments and Individuals in the U.S,2014,Center for Economic Studies,census;business;firms;working;paper;studies;center;discussion;impact;economic
It's Where You Work: Increases in Earnings Dispersion across Establishments and Individuals in the U.S,2014,IZA Discussion Papers,economics;data;center;census;business;working;economic;paper;discussion;impact
Augmenting the Human Capital Earnings Equation with Measures of Where People Work,2018,Journal of Labor Economics,discussion;data;center;census;business;economic;labor;journal;impact;economics
It's Where You Work: Increases in Earnings Dispersion across Establishments and Individuals in the U.S,2014,NBER,economics;discussion;data;center;census;business;economic;paper;working;impact
R&D Spillovers and Labor Mobility,2017,Unknown,center;census;business;firm;working;economic;mimeo;labor;impact;university
Immigration and Employer Transitions for STEM Workers,2013,American Economic Review,economics;discussion;data;center;census;business;working;rdc;impact;economic
Mandated Benefits and Firm Behavior: Evidence from Business Regulations and the Universe of U.S. Firms,2013,University of Pennsylvania,working;economic;rdc;firm;mimeo;evidence;university;business;impact;firms
The Effects of Scientists and Engineers on Productivity and Earnings at the Establishment Where They Work,2017,NBER,data;center;census;business;firms;economic;paper;working;impact;productivity
The Dynamics of Gender Earnings Differentials: Evidence from Establishment Data,2021,European Economic Review,economics;discussion;center;census;business;working;evidence;impact;data;economic
Augmenting the Human Capital Earnings Equation with Measures of Where People Work,2016,NBER,economics;discussion;data;center;census;business;economic;paper;working;impact
Augmenting the Human Capital Earnings Equation with Measures of Where People Work,2018,"Firms and the Distribution of Income: The Roles of Productivity and Luck, edited by Edward Lazear and Kathryn Shaw, University of Chicago Press.",data;center;census;business;working;economic;university;impact;productivity;firms
Earnings Adjustment Frictions: Evidence from Social Security Earnings Test,2013,Center for Economic Studies,firm;working;rdc;paper;studies;center;discussion;evidence;impact;economic
Impacts of Unionization on Quality and Productivity: Regression Discontinuity Evidence from Nursing Homes,2015,Industrial and Labor Relations Review,census;business;firm;working;economic;rdc;evidence;labor;impact;productivity
The Effects of Scientists and Engineers on Productivity and Earnings at the Establishment Where They Work,2018,"U.S. Engineering in a Global Economy, Richard Freeman and Hal Salzman, eds., Chicago, IL: University of Chicago Press. ",data;center;census;business;firms;working;economic;university;impact;productivity
The Location and Agglomeration of Industrial R&D,2016,Harvard University,center;census;business;firm;working;economic;rdc;mimeo;university;impact
The Dynamics of Gender Earnings Differentials: Evidence from Establishment Data,2017,NBER,discussion;center;census;business;economic;paper;working;evidence;impact;data
It’s Where You Work: Increases in the Dispersion of Earnings across Establishments and Individuals in the United States,2016,Journal of Labor Economics,discussion;data;center;census;business;economic;labor;journal;impact;economics
Dying to Know: Are Workers Paid Their Marginal Product?,2013,University of Pennsylvania,center;census;business;firm;working;economic;rdc;mimeo;university;impact
Dutch Disease or Agglomeration? The Local Economic Effects of Natural Resource Booms in Modern America,2015,Center for Economic Studies,business;firms;working;rdc;paper;studies;center;firm;discussion;economic
Dutch Disease of Agglomeration? The Local Economic Effects of Natural Resource Booms in Modern America,2014,NBER,data;center;census;business;firms;economic;rdc;paper;working;firm
Dutch Disease or Agglomeration? The Local Economic Effects of Natural Resource Booms in Modern America,2018,Review of Economic Studies,data;center;census;business;firms;working;rdc;studies;firm;economic
The Impact of Immigration on the Labor Market Outcomes of Native Workers: Evidence Using Longitudinal Data from the LEHD,2016,Center for Economic Studies,rdc;paper;studies;center;discussion;evidence;impact;data;labor;market
Urban Immigrant Diversity and Inclusive Institutions,2016,Center for Economic Studies,firm;working;economic;rdc;paper;studies;center;discussion;labor;market
Immigrant Diversity and Complex Problem Solving,2016,Center for Economic Studies,firm;working;economic;rdc;paper;studies;center;discussion;labor;market
Spillovers from Immigrant Diversity in Cities,2015,Spatial Economics Research Centre,census;business;firm;working;rdc;paper;discussion;labor;economics;market
Spillovers from Immigrant Diversity in Cities,2015,Center for Economic Studies,firm;working;economic;rdc;paper;studies;center;discussion;labor;market
Spillovers from Immigrant Diversity in Cities,2018,Journal of Economic Geography,data;center;census;business;firms;economic;rdc;labor;journal;market
"Cities, Immigrant Diversity and Complex Problem Solving",2017,Research Policy,discussion;data;center;census;business;firms;working;rdc;labor;market
The Economic Geography of Immigrant Diversity: Disparate Impacts and New Directions,2017,Geography Compass,data;center;census;business;firms;working;economic;rdc;labor;market
